tconst,titleType,primaryTitle,startYear,endYear,genres,averageRating,numVotes,title_x,imdb_url,title_y
tt1830042,tvSeries,Kapitan Bomba,2008,2013,"Animation,Comedy,Sci-Fi",7.6,385,['Kapitan Bomba'],https://www.imdb.com/title/tt1830042/,Kapitan Bomba
tt1411815,tvSeries,One Outs,2008,2009,"Animation,Drama,Sport",8.2,2171,['One Outs'],https://www.imdb.com/title/tt1411815/,One Outs
tt1411813,tvSeries,Hell Girl: Three Vessels,2008,2009,"Animation,Drama,Family",7.4,340,['Jigoku sh?jo: Mitsuganae'],https://www.imdb.com/title/tt1411813/,Jigoku sh?jo: Mitsuganae
tt0823671,video,Tinker Bell,2008,,"Adventure,Animation,Family",6.7,18562,['Tinker Bell'],https://www.imdb.com/title/tt0823671/,Tinker Bell
tt1214964,video,I Am Legend: Awakening - Story 3: Shelter,2008,,"Animation,Short",6.6,219,['I Am Legend: Awakening - Story 3: Shelter'],https://www.imdb.com/title/tt1214964/,I Am Legend: Awakening - Story 3: Shelter
tt1214965,video,I Am Legend: Awakening - Story 4: Death as a Gift,2008,,"Animation,Short",5.7,199,['I Am Legend: Awakening - Story 4: Death as a Gift'],https://www.imdb.com/title/tt1214965/,I Am Legend: Awakening - Story 4: Death as a Gift
tt1214963,video,I Am Legend: Awakening - Story 1: Sacrificing the Few for the Many,2008,,"Animation,Short",5.7,226,['I Am Legend: Awakening - Story 1: Sacrificing the Few for the Many'],https://www.imdb.com/title/tt1214963/,I Am Legend: Awakening - Story 1: Sacrificing the Few for the Many
tt1410057,short,Spare Change,2008,,"Animation,Drama,Music",6.5,161,['Spare Change'],https://www.imdb.com/title/tt1410057/,Spare Change
tt1410010,short,Bankenkrise,2008,,"Animation,Comedy,Short",7.2,6,['Bankenkrise'],https://www.imdb.com/title/tt1410010/,Bankenkrise
tt1839300,tvSeries,The Deconstructor,2008,,"Animation,Comedy,Sci-Fi",5.9,12,['The Deconstructor'],https://www.imdb.com/title/tt1839300/,The Deconstructor
tt1215542,tvSeries,Allison & Lillia,2008,2008,"Action,Adventure,Animation",7,124,['Arison to Riria'],https://www.imdb.com/title/tt1215542/,Arison to Riria
tt1409005,short,C Block,2008,,"Animation,Short",7.3,6,['C Block'],https://www.imdb.com/title/tt1409005/,C Block
tt1215978,short,Last Time in Clerkenwell,2008,,"Animation,Short",7.2,46,['Last Time in Clerkenwell'],https://www.imdb.com/title/tt1215978/,Last Time in Clerkenwell
tt1215981,short,Zombie Gets a Date,2008,,"Animation,Short",6,25,['Zombie Gets a Date'],https://www.imdb.com/title/tt1215981/,Zombie Gets a Date
tt1215996,tvSeries,Blassreiter,2008,2008,"Action,Animation,Sci-Fi",6.5,292,['Burasuraita'],https://www.imdb.com/title/tt1215996/,Burasuraita
tt1408939,short,Hold the Mustard,2008,,"Animation,Comedy,Short",4.7,7,['Hold the Mustard'],https://www.imdb.com/title/tt1408939/,Hold the Mustard
tt1216159,tvSeries,Nabari no Ou,2008,2008,"Action,Animation,Comedy",6.3,358,['Nabari no ?'],https://www.imdb.com/title/tt1216159/,Nabari no ?
tt1216196,tvSeries,Special A,2008,2008,"Animation,Comedy,Drama",7.2,1153,['S.A: Supesharu '],https://www.imdb.com/title/tt1216196/,S.A: Supesharu 
tt1216123,tvSeries,Kamen No Maid Guy,2008,2008,"Action,Animation,Comedy",6.1,87,['Kamen no meido gai'],https://www.imdb.com/title/tt1216123/,Kamen no meido gai
tt1216131,tvSeries,Kurenai,2008,,"Animation,Comedy,Drama",6.7,196,['Kurenai'],https://www.imdb.com/title/tt1216131/,Kurenai
tt1216132,tvSeries,Glass Maiden,2008,,"Action,Animation,Mystery",6.1,40,['Kurisutaru bureizu'],https://www.imdb.com/title/tt1216132/,Kurisutaru bureizu
